"trinomial","opencontext_uri","opencontext_mirror_url","tdar_metadata_uri","state_source","link_identified"
"8HG767","http://opencontext.org/subjects/EEFFDCF4-2CD2-4065-EB80-2A6EBCF405CC","http://opencontext.dainst.org/subjects/EEFFDCF4-2CD2-4065-EB80-2A6EBCF405CC","http://core.tdar.org/browse/site-name/6520/8hg767","Florida Site Files","2015-02-09 12:03:22.455408"
"8HG768","http://opencontext.org/subjects/0B983CF1-FD98-41E8-81DC-15C0AAA77DAF","http://opencontext.dainst.org/subjects/0B983CF1-FD98-41E8-81DC-15C0AAA77DAF","http://core.tdar.org/browse/site-name/6522/8hg768","Florida Site Files","2015-02-09 12:03:23.820486"
"8HG769","http://opencontext.org/subjects/20733BAC-99E7-416A-A032-362FF03AFDE2","http://opencontext.dainst.org/subjects/20733BAC-99E7-416A-A032-362FF03AFDE2","http://core.tdar.org/browse/site-name/6524/8hg769","Florida Site Files","2015-02-09 12:03:25.148562"
"8HG770","http://opencontext.org/subjects/A5AC3DE1-ECD9-495B-18FF-7BAC33079518","http://opencontext.dainst.org/subjects/A5AC3DE1-ECD9-495B-18FF-7BAC33079518","http://core.tdar.org/browse/site-name/6526/8hg770","Florida Site Files","2015-02-09 12:03:26.473638"
"8HG771","http://opencontext.org/subjects/91D1EA6A-D833-49C4-D55B-6C9781C9FBC7","http://opencontext.dainst.org/subjects/91D1EA6A-D833-49C4-D55B-6C9781C9FBC7","http://core.tdar.org/browse/site-name/6528/8hg771","Florida Site Files","2015-02-09 12:03:27.795713"
"8HG772","http://opencontext.org/subjects/1F0FED05-D825-48B8-E5FB-063434308670","http://opencontext.dainst.org/subjects/1F0FED05-D825-48B8-E5FB-063434308670","http://core.tdar.org/browse/site-name/6530/8hg772","Florida Site Files","2015-02-09 12:03:29.14079"
"8HG876","http://opencontext.org/subjects/120FE0A3-AD57-4025-C0E6-74BEB3A1090D","http://opencontext.dainst.org/subjects/120FE0A3-AD57-4025-C0E6-74BEB3A1090D","http://core.tdar.org/browse/site-name/6534/8hg876","Florida Site Files","2015-02-09 12:03:30.502868"
"8HG877","http://opencontext.org/subjects/9B4A5F23-1246-4B56-21D7-FD1A2618EB9E","http://opencontext.dainst.org/subjects/9B4A5F23-1246-4B56-21D7-FD1A2618EB9E","http://core.tdar.org/browse/site-name/6536/8hg877","Florida Site Files","2015-02-09 12:03:31.853945"
"8HG880","http://opencontext.org/subjects/92395048-F111-4CCE-4497-7BA3C6844F10","http://opencontext.dainst.org/subjects/92395048-F111-4CCE-4497-7BA3C6844F10","http://core.tdar.org/browse/site-name/6825/8hg880","Florida Site Files","2015-02-09 12:03:34.492096"
"8HG881","http://opencontext.org/subjects/44D0B65A-3A3E-4F79-4821-CDBD039A710C","http://opencontext.dainst.org/subjects/44D0B65A-3A3E-4F79-4821-CDBD039A710C","http://core.tdar.org/browse/site-name/6827/8hg881","Florida Site Files","2015-02-09 12:03:35.865175"
"8HG882","http://opencontext.org/subjects/AB29E7DA-F53C-4E52-E3F7-F9ECB69410DB","http://opencontext.dainst.org/subjects/AB29E7DA-F53C-4E52-E3F7-F9ECB69410DB","http://core.tdar.org/browse/site-name/6696/8hg882","Florida Site Files","2015-02-09 12:03:37.220252"
"8HG883","http://opencontext.org/subjects/803D0AFE-AE1F-40C0-02B7-2DC3D695BBE1","http://opencontext.dainst.org/subjects/803D0AFE-AE1F-40C0-02B7-2DC3D695BBE1","http://core.tdar.org/browse/site-name/6830/8hg883","Florida Site Files","2015-02-09 12:03:38.593331"
"8HG884","http://opencontext.org/subjects/CCF71D16-7467-4FF1-27EB-E62E58465840","http://opencontext.dainst.org/subjects/CCF71D16-7467-4FF1-27EB-E62E58465840","http://core.tdar.org/browse/site-name/6832/8hg884","Florida Site Files","2015-02-09 12:03:39.948408"
"8HG885","http://opencontext.org/subjects/6538E9CA-5070-4370-E767-8696F6F5F934","http://opencontext.dainst.org/subjects/6538E9CA-5070-4370-E767-8696F6F5F934","http://core.tdar.org/browse/site-name/6834/8hg885","Florida Site Files","2015-02-09 12:03:41.309486"
"8HG886","http://opencontext.org/subjects/5E54AFB9-DD04-4754-669A-DB95CCEE89A8","http://opencontext.dainst.org/subjects/5E54AFB9-DD04-4754-669A-DB95CCEE89A8","http://core.tdar.org/browse/site-name/6836/8hg886","Florida Site Files","2015-02-09 12:03:42.786571"
"8HG887","http://opencontext.org/subjects/EBE694A1-DBAC-4E33-27BA-C0410E474113","http://opencontext.dainst.org/subjects/EBE694A1-DBAC-4E33-27BA-C0410E474113","http://core.tdar.org/browse/site-name/6634/8hg887","Florida Site Files","2015-02-09 12:03:44.146648"
"8HG888","http://opencontext.org/subjects/85BEE1B5-13A9-4FEB-113E-1D15E6DCF8A7","http://opencontext.dainst.org/subjects/85BEE1B5-13A9-4FEB-113E-1D15E6DCF8A7","http://core.tdar.org/browse/site-name/6838/8hg888","Florida Site Files","2015-02-09 12:03:45.507726"
"8HG889","http://opencontext.org/subjects/0E819E04-2525-4240-38A6-46849188F93E","http://opencontext.dainst.org/subjects/0E819E04-2525-4240-38A6-46849188F93E","http://core.tdar.org/browse/site-name/6636/8hg889","Florida Site Files","2015-02-09 12:03:46.855803"
"8HG890","http://opencontext.org/subjects/4F24E8F2-99FE-463C-A473-9BEB425CFFE1","http://opencontext.dainst.org/subjects/4F24E8F2-99FE-463C-A473-9BEB425CFFE1","http://core.tdar.org/browse/site-name/6841/8hg890","Florida Site Files","2015-02-09 12:03:48.226882"
"8HG891","http://opencontext.org/subjects/51F04472-32A2-4243-FAE3-5CC694FA3C07","http://opencontext.dainst.org/subjects/51F04472-32A2-4243-FAE3-5CC694FA3C07","http://core.tdar.org/browse/site-name/6843/8hg891","Florida Site Files","2015-02-09 12:03:49.58996"
"8HG892","http://opencontext.org/subjects/E993CF65-8B62-4412-4D66-217C10C63DEB","http://opencontext.dainst.org/subjects/E993CF65-8B62-4412-4D66-217C10C63DEB","http://core.tdar.org/browse/site-name/6845/8hg892","Florida Site Files","2015-02-09 12:03:50.915035"
"8HG926","http://opencontext.org/subjects/E2A264D4-5517-4F3A-2624-A5E5197F1BB5","http://opencontext.dainst.org/subjects/E2A264D4-5517-4F3A-2624-A5E5197F1BB5","http://core.tdar.org/browse/site-name/6893/8hg926","Florida Site Files","2015-02-09 12:04:29.935267"
"8HG927","http://opencontext.org/subjects/EBB65D9D-71C8-452A-EAC6-95422A29D53D","http://opencontext.dainst.org/subjects/EBB65D9D-71C8-452A-EAC6-95422A29D53D","http://core.tdar.org/browse/site-name/6886/8hg927","Florida Site Files","2015-02-09 12:04:31.277344"
"8HG928","http://opencontext.org/subjects/BE77215D-15E2-4E76-2395-17D694CE8839","http://opencontext.dainst.org/subjects/BE77215D-15E2-4E76-2395-17D694CE8839","http://core.tdar.org/browse/site-name/6888/8hg928","Florida Site Files","2015-02-09 12:04:32.616421"
"8HG929","http://opencontext.org/subjects/75FC226F-4ADA-4658-DD8E-324894390C53","http://opencontext.dainst.org/subjects/75FC226F-4ADA-4658-DD8E-324894390C53","http://core.tdar.org/browse/site-name/6895/8hg929","Florida Site Files","2015-02-09 12:04:33.979499"
